,List No,Item No,UPC Code,Manufacturer No,Manufacturer,Category,Category Path 1,Category Path 2,Category Path 3,Product Name,Price(USD),Cost price,Inventory,Shipping,Profit,STOCK TYPE,Date,In Stock,weight(lb),Qty_Remaining,Soldout/not,Sold_day,Sold,SaleRate,Blowout
68,3612,GV-166TO6G,8.9E+11,GV-N166TOC-6GD,GIGABYTE,Nvidia,Component,Video Card,PCI Express Video Card,GIGABYTE NVIDIA GeForce GTX 1660 Ti OC 6GB GDDR6 HDMI/3DisplayPort PCI-Express Video Card,287.51,215.6325,13,2.5,69.3775,Recurring,01-Jan-19,Y,2,0,Sold,12,13,1.083333333,12
69,1416,SYN-D4E16G,8.47E+11,D4ECSO-2400-16G,Synology,DDR4 (260 Pin),Component,DRAM Memory,Notebook DRAM,Synology D4ECSO-2400-16G DDR4-2400 SODIMM 16GB Notebook Memory,355.67,266.7525,13,2.5,86.4175,Recurring,01-Jan-19,Y,0.5,0,Sold,12,13,1.083333333,12
70,571,E5-2620V3,,CM8064401831400,Intel,Xeon,Component,CPU / Processor,Server CPU,"Intel Xeon E5-2620 v3 Six-Core Haswell Processor 2.4GHz 8.0GT/s 15MB LGA 2011-3 CPU, OEM",363.87,272.9025,13,2.5,88.4675,Recurring,01-Jan-19,Y,0.12,0,Sold,12,13,1.083333333,12
71,1285,AS-AC68,8.86E+11,PCE-AC68,ASUS,Wireless Network Adapter,Component,Networking,Wireless Networking,Asus PCE-AC68 Dual-Band Wireless-AC1900 PCI-Express Adapter,91.74,68.805,14,2.5,20.435,Recurring,01-Jan-19,Y,0.25,0,Sold,12,14,1.166666667,12
72,347,500M500D4,6.5E+11,CT500MX500SSD4,Crucial,M.2,Component,Solid State Drive,M.2,Crucial MX500 500GB M.2 2280 Solid State Drive (Micron 3D TLC NAND),84.05,63.0375,14,0,21.0125,Recurring,01-Jan-19,Y,0.04,0,Sold,12,14,1.166666667,12
73,1195,MSR1805206,8.9E+11,R18-05206,Microsoft,Server Software,Component,Software,Server Software,Microsoft Windows Server 2016 CAL English 1pk DSP OEI 5 Clt Device CAL,133.76,100.32,14,0,33.44,MAP,01-Jan-19,Y,0.1,0,Sold,12,14,1.166666667,12
74,3578,MSI-166TGX,8.24E+11,G1660TGX6,MSI,Nvidia,Component,Video Card,PCI Express Video Card,MSI NVIDIA GeForce GTX 1660 Ti GAMING X 6G GDDR6 HDMI/3DisplayPort PCI-Express Video Card,322.88,242.16,14,2.5,78.22,Recurring,01-Jan-19,Y,3.4,0,Sold,12,14,1.166666667,12
75,2354,CA-F8PWM,8.73E+11,F8 PWM/AFACO-080P0-GBA01,ARCTIC,80mm,Component,Fan & Heatsink,Case Fan,ARCTIC F8 PWM 80x80x25mm Case Fan,5.38,4.035,15,0,1.345,Recurring,01-Jan-19,Y,0.25,0,Sold,12,15,1.25,12
76,1624,IM-FX3,8.78E+11,IM-FX3,iMicro,Cartridge & Toner,Hardware & Software,Printer & Scanner,Cartridge & Toner,iMicro IM-FX3 Compatible Toner Cartridge,18.96,14.22,15,2.5,2.24,Recurring,01-Jan-19,Y,1.52,0,Sold,12,15,1.25,12
77,2976,VC511100GY,8.4E+11,NP511-100-GRAY,VCOM,Ethernet Cable,Component,Cable,Cat5 Cable,VCOM NP511-100-GRAY 100ft Cat5e UTP Molded Patch Cable (Gray),25.11,18.8325,15,2.5,3.7775,Recurring,01-Jan-19,Y,1.83,0,Sold,12,15,1.25,12
78,868,HD-ST4N085,7.64E+11,ST4000NM0085,Seagate,SATA,Component,Hard Drive,Enterprise HDD,"Seagate Enterprise Capacity ST4000NM0085 4TB 7200RPM SATA 6.0 GB/s 128MB 4Kn Enterprise Hard Drive (3.5 inch, Exos 7E8 HDD 4KN SATA)",177.33,132.9975,15,2.5,41.8325,Recurring,01-Jan-19,Y,1.5,0,Sold,12,15,1.25,12
79,1668,AS-V161GA,1.93E+11,V161GA-XB001T,ASUS,All-in-One PC,PC & Laptopk,All-in-One PC,,Asus AiO V161GA-XB001T 15.6 inch Touchscreen Intel Celeron N4000 1.10GHz/ 4GB DDR4/ 128GB SSD/ Windows 10 Pro All-in-One PC (Black),568.88,426.66,15,2.5,139.72,Recurring,01-Jan-19,Y,9,0,Sold,12,15,1.25,12
80,724,AS-PB602ZC,1.93E+11,PB60-B5042ZC,ASUS,Desktop System,PC & Laptop,Desktop System,,Asus Mini PC PB60-B5042ZC Intel Core i5-8400T 1.70GHz/ 8GB DRR4/ 256GB SSD/ Windows 10 Pro Desktop PC (Black) ,706.22,529.665,15,2.5,174.055,Recurring,01-Jan-19,Y,2.35,0,Sold,12,15,1.25,12
