List No,Item No,UPC Code,Manufacturer No,Manufacturer,Category,Category Path 1,Category Path 2,Category Path 3,Product Name,Price(USD),Inventory,STOCK TYPE,Date,In Stock,weight(lb),SaleRate,SaleRateNew
1659,MSI-20EX04,8.24E+11,PRO20EX004,MSI,All-in-One PC,PC & Laptopk,All-in-One PC,,MSI PRO 20EX 8GL-004US 19.5 inch All-in-one Intel Pentium N5000 1.1GHz/ 4GB DDR4/ 500GB HDD + 32GB SSD/ DVDÃ‚Â±RW/ Windows 10 Pro Desktop PC (Black-Clear Trim),511.47,1,Recurring,01 January 2019,L,15.34,0.04494382,0.011494253
1820,NEC-E557Q,8.06E+11,E557Q,NEC Display Solutions,"32""/above LCD/LED Monitor",Component,Monitor & Display & TV,LCD/LED Monitor,"NEC E557Q 55 inch Large Screen 4,000:1 8ms HDMI LED LCD Monitor, w/ Built-in ATSC/NTSC Tuner & Speakers",1034.23,1,Recurring,01 January 2019,L,48,0.04494382,0.011494253
1128,SY-128RWTO,,SYS-1028R-WTR  OPEN,Supermicro,1U,Component,Server,Server Barebone,"Supermicro SuperServer SYS-1028R-WTR OPEN Dual LGA2011 700W/750W 1U Rackmount Server Barebone System (Black, OPEN)",1127.5,1,Recurring,01 January 2019,L,46,0.04494382,0.011494253
1176,EN-TVS1283,8.85E+11,TVS-1282T3-I7-32G-US,QNAP,SMB,Component,NAS / DAS / SAN,NAS,QNAP TVS-1282T3-I7-32G-US Intel Core i7-7700 3.6GHz/ 32GB RAM/ 6GbE/ 12SATA3/ USB3.0/ 12-Bay Desktop NAS for SMBs,3440.92,1,Recurring,01 January 2019,L,19.62,0.04494382,0.011494253
3421,MB-R281N40,8.90E+11,R281-N40,GIGABYTE,2U,Component,Server,Server Barebone,GIGABYTE R281-N40 Dual LGA3647/ Intel C621/ DDR4/ V&3GbE 2U Rackmount Server Barebone System,3761.75,1,Recurring,01 January 2019,L,62,0.04494382,0.011494253
3547,EN-TES3032,8.85E+11,TES-3085U-D1531-32GR-US,QNAP,Enterprise,Component,NAS / DAS / SAN,NAS,QNAP TES-3085U-D1531-32GR-US Intel Xeon D-1531 2.2GHz/ 32GB RAM/ 6GbE/ 30SATA3/ 30-Bay 2U Rackmount NAS Server for Enterprise w/ Dual OS Options,6750.65,1,Recurring,01 January 2019,L,30.82,0.04494382,0.011494253
1103,MB-X11SAE,6.72E+11,X11SAE-O,Supermicro,LGA 1151,Component,Motherboard,Server,Supermicro X11SAE-O LGA1151/ Intel C236/ DDR4/ SATA3&USB3.1/ A&2GbE/ ATX Motherboard,215.76,1,Recurring,01 January 2019,L,2.8,0.04494382,0.011494253
1857,PJ-W316ST,7.96E+11,W316ST,Optoma,Projector,Hardware & Software,Projector & Screen,Projector,Optoma W316ST 3600 Lumens DLP WXGA Projector,810.78,1,Recurring,01 January 2019,L,8.5,0.04494382,0.011494253
3784,SAM-PM49H,8.06E+11,PM49H,Samsung,"32""/above LCD/LED Monitor",Component,Monitor & Display & TV,LCD/LED Monitor,"Samsung PM-H Series PM49H 49 inch 4000:1 8ms DVI/HDMI/DisplayPort/RJ45/USB LED LCD Monitor, w/ Built-in Wifi & Media Player & TV Tuner & Speakers (Black)",1121.35,1,Recurring,01 January 2019,L,38,0.04494382,0.011494253
1797,SAM-DB55E,8.06E+11,DB55E,Samsung,"32""/above LCD/LED Monitor",Component,Monitor & Display & TV,LCD/LED Monitor,"Samsung DB-E Series DB55E 55 inch 5000:1 8ms Component/VGA/DVI/HDMI/RJ45/USB LED LCD Monitor, w/ Built-in Wifi & TV Tuner & Speakers (Black)",1239.23,1,Recurring,01 January 2019,L,43,0.04494382,0.011494253
3350,SP-SSECX79,8.85E+11,SP-SSECX79-TRAY,QNAP,Accessory,Component,Hard Drive,Accessory,QNAP SP-SSECX79-TRAY HDD Tray for 2.5 inch HDD,136,1,Recurring,01 January 2019,L,0.5,0.04494382,0.011494253
4094,CA-SFTDCMS,6.72E+11,SFT-DCMS-SINGLE,Supermicro,Accessory,Hardware & Software,Server & Workstation,Accessory,Supermicro SFT-DCMS-SINGLE DataCenter Management Package (per node license),138.38,1,Recurring,01 January 2019,L,1,0.04494382,0.011494253
2643,IW-RJ424DE,,RJ424-04-CR550.HDE,In Win,JBOD / RAID Storage,Hardware & Software,Server & Workstation,Storage RAID,In-Win RJ424-04-CR550.HDE 550W 4U JBOD Storage Enclosure,114,1,Recurring,01 January 2019,L,0,0.04494382,0.011494253
2642,IW-RJ4244H,,RJ424-04-CR550.HE,In Win,JBOD / RAID Storage,Hardware & Software,Server & Workstation,Storage RAID,In-Win RJ424-04-CR550.HE 550W 4U JBOD Storage Enclosure,132,1,Recurring,01 January 2019,L,0,0.04494382,0.011494253
2438,CA-AOCSTI1,6.72E+11,AOC-STGN-I1S,Supermicro,Wired Network Adapter,Component,Networking,Wired Networking,Supermicro AOC-STGN-I1S Single-port 10 Gigabit Ethernet Adapter,173.74,1,Recurring,01 January 2019,L,1,0.04494382,0.011494253
3058,MT426ER32G,,CT32G4RFD4266-2G6,Micron,Server DDR4,Component,DRAM Memory,Server DRAM,Micron DDR4-2666 32GB/4Gx72 ECC/REG CL19 Server Memory,207.05,1,Recurring,01 January 2019,L,0.1,0.04494382,0.011494253
1829,TS-IS1934P,94922108456,IS1934P-U,TouchSystems,Touch Screen LCD/LED,Component,Monitor & Display & TV,Touch Screen LCD/LED,TouchSystems IS1934P-U 19 inch 800:1 5ms VGA/USB Touchscreen CCFL LCD Monitor (Black),,,,,,,0.04494382,0.011494253
1659,MSI-20EX04,8.24E+11,PRO20EX004,MSI,All-in-One PC,PC & Laptopk,All-in-One PC,,MSI PRO 20EX 8GL-004US 19.5 inch All-in-one Intel Pentium N5000 1.1GHz/ 4GB DDR4/ 500GB HDD + 32GB SSD/ DVDÃ‚Â±RW/ Windows 10 Pro Desktop PC (Black-Clear Trim),,,,,,,0.04494382,0.011494253
1820,NEC-E557Q,8.06E+11,E557Q,NEC Display Solutions,"32""/above LCD/LED Monitor",Component,Monitor & Display & TV,LCD/LED Monitor,"NEC E557Q 55 inch Large Screen 4,000:1 8ms HDMI LED LCD Monitor, w/ Built-in ATSC/NTSC Tuner & Speakers",,,,,,,0.04494382,0.011494253
1128,SY-128RWTO,,SYS-1028R-WTR  OPEN,Supermicro,1U,Component,Server,Server Barebone,"Supermicro SuperServer SYS-1028R-WTR OPEN Dual LGA2011 700W/750W 1U Rackmount Server Barebone System (Black, OPEN)",,,,,,,0.04494382,0.011494253
1176,EN-TVS1283,8.85E+11,TVS-1282T3-I7-32G-US,QNAP,SMB,Component,NAS / DAS / SAN,NAS,QNAP TVS-1282T3-I7-32G-US Intel Core i7-7700 3.6GHz/ 32GB RAM/ 6GbE/ 12SATA3/ USB3.0/ 12-Bay Desktop NAS for SMBs,,,,,,,0.04494382,0.011494253
3421,MB-R281N40,8.90E+11,R281-N40,GIGABYTE,2U,Component,Server,Server Barebone,GIGABYTE R281-N40 Dual LGA3647/ Intel C621/ DDR4/ V&3GbE 2U Rackmount Server Barebone System,,,,,,,0.04494382,0.011494253
3547,EN-TES3032,8.85E+11,TES-3085U-D1531-32GR-US,QNAP,Enterprise,Component,NAS / DAS / SAN,NAS,QNAP TES-3085U-D1531-32GR-US Intel Xeon D-1531 2.2GHz/ 32GB RAM/ 6GbE/ 30SATA3/ 30-Bay 2U Rackmount NAS Server for Enterprise w/ Dual OS Options,,,,,,,0.04494382,0.011494253
1103,MB-X11SAE,6.72E+11,X11SAE-O,Supermicro,LGA 1151,Component,Motherboard,Server,Supermicro X11SAE-O LGA1151/ Intel C236/ DDR4/ SATA3&USB3.1/ A&2GbE/ ATX Motherboard,,,,,,,0.04494382,0.011494253
1857,PJ-W316ST,7.96E+11,W316ST,Optoma,Projector,Hardware & Software,Projector & Screen,Projector,Optoma W316ST 3600 Lumens DLP WXGA Projector,,,,,,,0.04494382,0.011494253
