List No,Item No,UPC Code,Manufacturer No,Manufacturer,Category,Category Path 1,Category Path 2,Category Path 3,Product Name,Price(USD),Cost price,Inventory,Shipping,Profit,STOCK TYPE,Date,In Stock,weight(lb),SaleRate,SaleRateNew,Blowout
1064,MB-H270F4G,8.90E+11,H270-F4G-SI,GIGABYTE,2U,Component,Server,Server Barebone,GIGABYTE H270-F4G-SI Four Node Dual LGA2011-3/ Intel C612/ DDR4/ V&GbE 2U Rackmount Server Barebone System,3843.75,2882.8125,1,10,950.9375,Recurring,01-Jan-19,L,85,0.08988764,0.012048193,82.99999842
3559,EN-TS1664G,8.85E+11,TS-1677X-1700-64G-US,QNAP,Enterprise,Component,NAS / DAS / SAN,NAS,QNAP TS-1677X-1700-64G-US AMD Ryzen 7 1700 3.0GHz/ 64GB DDR4/ 6GbE/ 16SATA3/ USB3.0/ 16-Bay Tower NAS Server for Enterprise,4098.97,3074.2275,1,10,1014.7425,Recurring,01-Jan-19,L,34,0.08988764,0.012048193,82.99999842
3295,MSI-T83016,8.24E+11,GT83016,MSI,Laptop & Notebook,PC & Laptop,Laptop/Notebook,,MSI GT83 TITAN-016 18.4 inch Intel Core i7-8850H 2.6GHz/ 32GB DDR4/ 1TB HDD+512GB SSD/ BD Burner/ GTX1070 SLI / USB3.1/ Windows 10 Notebook (Aluminum Black),4340.88,3255.66,1,10,1075.22,Recurring,01-Jan-19,L,26.27,0.08988764,0.012048193,82.99999842
3511,SY-629TPHR,,SYS-6029TP-HC1R,Supermicro,2U,Component,Server,Server Barebone,Supermicro SuperServer SYS-6029TP-HC1R Four Node Dual LGA3647 2200W/2000W 2U Rackmount Server Barebone System (Black),4720.13,3540.0975,1,10,1170.0325,Recurring,01-Jan-19,L,90,0.08988764,0.012048193,82.99999842
2735,CA-SMA8,7.61E+11,80MM SMARTCOOL,Antec,80mm,Component,Fan & Heatsink,Case Fan,Antec SmartCool 80mm Thermally Controlled Case Fan,6.15,1.15,79,0,5,Recurring,01-Jan-19,Y,0.4,0.662779121,0.961038961,82.20270271
1037,MB-A78MPU3,8.89E+11,M5A78L-M PLUS/USB3,ASUS,Socket AM3+,Component,Motherboard,Desktop,Asus M5A78L-M PLUS/USB3 Socket AM3+/ AMD 760G (780L)/ DDR3/ CrossFireX/ USB3.0/ A&V&GbE/ MicroATX Motherboard,63.04,47.28,81,2.5,13.26,Recurring,01-Jan-19,Y,2.16,0.609515883,0.987804878,82
188,F24UA8GK,7.41E+11,KVR24N17S8/8,Kingston,DDR4 (288 Pin) ,Component,DRAM Memory,Desktop DRAM,Kingston ValueRAM KVR24N17S8/8 DDR4-2400 8GB/1Gx64 CL17 Memory ,50.22,37.665,83,0,12.555,Recurring,01-Jan-19,Y,0.07,0.641532422,1.012195122,82
3921,UPS-RBC5,7.31E+11,RBC5,APC,Battery Systems,Component,Power Protection / UPS,Battery Systems,APC RBC5 Replacement Battery Cartridge #5,65.6,49.2,1,3.5,12.9,Recurring,01-Jan-19,L,12,0.101123596,0.012195122,81.99999967
3114,NY141ZA512,,ZA512CM10002,Seagate,SATA3,Component,Solid State Drive,SATA3,Seagate Nytro 141 ZA512CM10002 512GB 2.5 inch SATA 6GB/s Solid State Drive (TLC),63.55,47.6625,1,2.5,13.3875,Recurring,01-Jan-19,L,0.15,0.101123596,0.012195122,81.99999967
3164,FTR128MU1M,8.41E+11,FTR128MU1M,SUPER TALENT,SATA3,Component,Solid State Drive,SATA3,Super Talent DuraDrive KX4 128GB 1.8 inch uSATA3 Solid State Drive (MLC),80.98,60.735,1,2.5,17.745,Recurring,01-Jan-19,L,0.4,0.101123596,0.012195122,81.99999967
3418,MB-B450ARM,8.90E+11,B450 AORUS M,GIGABYTE,Socket AM4,Component,Motherboard,Desktop,GIGABYTE B450 AORUS M Socket AM4/ AMD B450/ DDR4/ Quad-GPU CrossFireX/ SATA3&USB3.1/ M.2/ A&GbE/ MicroATX Motherboard,87.64,65.73,1,2.5,19.41,Recurring,01-Jan-19,L,2.05,0.101123596,0.012195122,81.99999967
2761,PS-PWS351R,,PWS-351-1H REFURBISHED,Supermicro,Server,Component,Power Supply,Server,Supermicro PWS-351-1H REFURBISHED 1U 80 Plus Gold Single Type Power Supply w/ PFC,92.25,69.1875,1,2.5,20.5625,Recurring,01-Jan-19,L,5,0.101123596,0.012195122,81.99999967
3753,SC-SOAR,8.89E+11,STRIX SOAR,ASUS,Sound Card,Component,Multimedia,Sound Card,Asus STRIX SOAR PCI-Express 7.1 Channel Gaming Sound Card,99.94,74.955,1,2.5,22.485,Recurring,01-Jan-19,L,0.22,0.101123596,0.012195122,81.99999967
1185,MSQLF00579,8.90E+11,QLF-00579,Microsoft,Operating System,Component,Software,Operating System,"Microsoft Windows 10 Pro Operating System 32-bit English (3-Pack, Refurbisher), OEM",124.85,93.6375,1,2.5,28.7125,MAP,01-Jan-19,L,0.2,0.101123596,0.012195122,81.99999967
3509,SY-228TBOX,,SYS-2028TP-DTTR INNER+OUTER BOX,Supermicro,2U,Component,Server,Server Barebone,"Supermicro SuperServer SYS-2028TP-DTTR Two Node Dual LGA2011 1280W 2U Rackmount Server Barebone System (Black, INNER+OUTER BOX)",153.75,115.3125,1,2.5,35.9375,Recurring,01-Jan-19,L,2,0.101123596,0.012195122,81.99999967
3386,MB-P11C-I,8.89E+11,P11C-I,ASUS,LGA 1151,Component,Motherboard,Server,ASUS P11C-I LGA1151/ Intel C242/ DDR4/ SATA3&USB3.1/ M.2/ V&2GbE/ Mini-ITX Motherboard,196.8,147.6,1,2.5,46.7,Recurring,01-Jan-19,L,2.43,0.101123596,0.012195122,81.99999967
3480,MB-X7SP5B,6.72E+11,X7SPE-HF-D525-B,Supermicro,LGA 775,Component,Motherboard,Server,Supermicro X7SPE-HF-D525-B Intel ICH9R/ DDR3/ V&GbE/ FlexATX Server Motherboard,225.5,169.125,1,2.5,53.875,Recurring,01-Jan-19,L,2.5,0.101123596,0.012195122,81.99999967
3647,AS-S570O4G,8.89E+11,STRIX-RX570-O4G-GAMING,ASUS,AMD,Component,Video Card,PCI Express Video Card,Asus AMD Radeon STRIX RX 570 OC GAMING 4GB GDDR5 2DVI/HDMI/DisplayPort PCI-Express Video Card,286.49,214.8675,1,2.5,69.1225,Recurring,01-Jan-19,L,2.4,0.101123596,0.012195122,81.99999967
3791,NEC-EA271F,8.06E+11,EA271F-BK,NEC Display Solutions,"23""-30"" LCD/LED Monitor",Component,Monitor & Display & TV,LCD/LED Monitor,"NEC MultiSync EA271F-BK 27 inch Widescreen 1,000:1 6ms HDMI/DisplayPort/DVI/VGA LED LCD Monitor, w/ Speakers",398.72,299.04,1,3.5,96.18,Recurring,01-Jan-19,L,22,0.101123596,0.012195122,81.99999967
293,P3600_400G,7.36E+11,SSDPE2ME400G401,Intel,PCI-E/Mini PCI-E,Component,Solid State Drive,PCI-E/Mini PCI-E,Intel DC P3600 Series SSDPE2ME400G401 400GB 2.5 inch PCI-Express 3.0 x4 Solid State Drive (MLC),419.22,314.415,1,2.5,102.305,Recurring,01-Jan-19,L,0.38,0.101123596,0.012195122,81.99999967
3502,SY-119SWR,6.72E+11,SYS-1019S-WR,Supermicro,1U,Component,Server,Server Barebone,Supermicro SuperServer SYS-1019S-WR LGA1151 400W 1U Rackmount Server Barebone System (Black),818.97,614.2275,1,10,194.7425,Recurring,01-Jan-19,L,27,0.101123596,0.012195122,81.99999967
3626,EV-2080XC,8.43E+11,08G-P4-2182-KR,EVGA,Nvidia,Component,Video Card,PCI Express Video Card,EVGA NVIDIA GeForce RTX 2080 XC Gaming 8GB GDDR6 USB/HDMI/3DisplayPort PCI-Express Video Card w/ RGB LED,819.99,614.9925,1,2.5,202.4975,Recurring,01-Jan-19,L,4.34,0.101123596,0.012195122,81.99999967
3663,PNY-2080TB,7.51E+11,VCG2080T11BLMPB,PNY,Nvidia,Component,Video Card,PCI Express Video Card,PNY NVIDIA GeForce RTX 2080 Ti Blower 11GB GDDR6 HDMI/3DisplayPort/USB Type-C PCI-Express Video Card,1434.49,1075.8675,1,2.5,356.1225,Recurring,01-Jan-19,L,2.87,0.101123596,0.012195122,81.99999967
3515,SY-749PTR,,SYS-7049P-TR,Supermicro,4U,Component,Server,Server Barebone,Supermicro SuperServer SYS-7049P-TR Dual LGA3647 1280W 4U Rackmount/Tower Server Barebone System (Black),1526.23,1144.6725,1,10,371.5575,Recurring,01-Jan-19,L,65,0.101123596,0.012195122,81.99999967
